Date,Close/Last,Volume,Open,High,Low
11/27/2020,$108.98,5602079,$107.33,$109.9,$105.29
11/25/2020,$106.94,8166091,$106.29,$108.25,$105.56
11/24/2020,$105.42,11628080,$109.46,$110.07,$104.15
11/23/2020,$112.05,12179820,$110.43,$113.94,$106.07
11/20/2020,$110.9,17323940,$106,$112.81,$104.2
11/19/2020,$105.26,9678876,$104.1,$106.42,$102.7801
11/18/2020,$104.49,11144420,$101.49,$105.56,$100.26
11/17/2020,$102.49,10050010,$102.33,$102.78,$99.63
11/16/2020,$101.9,16488740,$97.3,$102.06,$95.86
11/13/2020,$100.79,16159460,$109.0296,$109.6899,$99.5
11/12/2020,$108.72,17022830,$107.11,$112,$106.45
11/11/2020,$106.21,27922340,$103,$107.35,$99.83
11/10/2020,$105.21,39736590,$103.1,$108.65,$92.03
11/09/2020,$100.01,42202870,$106.69,$108.48,$94.12
11/06/2020,$125.46,24201830,$123,$132.79,$122.49
11/05/2020,$126.63,16320220,$122.935,$126.91,$117.82
11/04/2020,$118.6,8066159,$113.99,$118.93,$112.96
11/03/2020,$111.7,9413621,$113.51,$114.05,$110.13
11/02/2020,$113.44,8774227,$112.355,$116.32,$110.9176
10/30/2020,$110.21,11004740,$114.1,$116.21,$109.01
10/29/2020,$115.91,11407620,$124.3,$124.9,$114.24
10/28/2020,$122.12,9233779,$122.11,$124.3362,$119.5601
10/27/2020,$121.15,8626956,$120.36,$122.5337,$118.31
10/26/2020,$118.1,11917910,$123.02,$125.6499,$116.0982
10/23/2020,$122.53,11544060,$121.1,$123.65,$117.58
10/22/2020,$120.8,24320470,$119.75,$126.59,$118.61
10/21/2020,$124.3,19003720,$132.79,$136.95,$124.28
10/20/2020,$131.93,12668350,$133.75,$134.55,$130.33
10/19/2020,$133.01,24250330,$130.94,$134.57,$126.95
10/16/2020,$131.33,40455840,$137.6,$139.75,$128.67
10/15/2020,$136.43,26759210,$127.82,$137.24,$126.55
10/14/2020,$131.44,27271640,$132.11,$135.31,$128.26
10/13/2020,$130.97,17317710,$127,$131.92,$124.31
10/12/2020,$127.3,20531390,$125.095,$129.41,$122.24
10/09/2020,$123.02,17601900,$115.71,$123.58,$114.78
10/08/2020,$115,15353590,$118.92,$119.89,$113.7
10/07/2020,$116.96,22040020,$113.48,$118.44,$113.01
10/06/2020,$111.31,19411320,$110.78,$113.87,$109.38
10/05/2020,$110.74,16139410,$107.67,$110.85,$106.11
10/02/2020,$107.51,29786610,$105,$110.25,$104.09
10/01/2020,$105.2,26735530,$99.83,$105.74,$99.305
09/30/2020,$99.24,19003420,$99.99,$101.88,$98.095
09/29/2020,$100.47,41271320,$96.84,$102.83,$96.27
09/28/2020,$96.91,34557710,$97.27,$99.4,$94.42
09/25/2020,$97.73,45866010,$90.757,$98.48,$90.5
09/24/2020,$88.56,34327750,$93.9,$95.2499,$88
09/23/2020,$95.23,55375380,$95.81,$100.4399,$93.91
09/22/2020,$94.39,43455620,$90.33,$94.65,$88.43
09/21/2020,$94.8,51263700,$89.4,$96.5,$87.78
09/18/2020,$89.7,44309560,$85.25,$90.01,$83.28
09/17/2020,$85.2,30607880,$79.69,$85.7,$79.02
09/16/2020,$82.59,25209190,$83.77,$86.35,$82.2
09/15/2020,$85.45,67929340,$83.5,$88.5,$82.5
09/14/2020,$82.01,52982530,$81.72,$83.5,$78.83
09/11/2020,$84.04,87398130,$98.1065,$98.1065,$83.58
09/10/2020,$87.75,55832560,$93.55,$98.61,$86.38
09/09/2020,$91.17,30086860,$90.16,$92.08,$86.22
09/08/2020,$85.6,32732780,$79.38,$91.84,$79.29
09/04/2020,$80.63,16784930,$81.55,$84.972,$72.11
09/03/2020,$82.28,14010180,$87.8,$87.9,$80.51
09/02/2020,$91.06,26695550,$91.8,$92.5,$84.25
09/01/2020,$83.67,13242490,$78.39,$84.63,$78
08/31/2020,$76.67,15742530,$76,$77.8,$75.41
08/28/2020,$75.96,15422190,$72.41,$77.455,$72.25
08/27/2020,$70.3,12952850,$72.4,$72.4124,$68.06
08/26/2020,$67.3,4663614,$66.97,$68.6132,$66.735
08/25/2020,$66.45,4291655,$66.47,$67.46,$65.29
08/24/2020,$66.87,4483673,$69.95,$70.25,$66.21
08/21/2020,$69.35,4077864,$68.71,$70.95,$68.56
08/20/2020,$68.72,3208150,$67.59,$69.09,$67.1
